component_id,component_type,equipment_age_years,ambient_temperature,humidity,temperature,vibration,voltage,current,pressure,rpm,duty_cycle,running_hours,machine_load,maintenance_history,failures
C00020,Pump,2.6,32.6,41,70.7,0.29,235.1,9.6,116.7,2674,73,3737,66,7,0
C00021,Horn,1.1,30.7,76,63.4,0.63,227.4,10.1,108.2,2860,100,3215,100,0,0
C00022,Pump,5.7,22.8,50,82.2,0.5,217.7,7.7,110.9,2595,80,1537,47,3,0
C00023,Motor,0.7,29.2,44,61.9,0.6,216.3,9.6,96,2705,97,3809,80,7,0
C00024,Motor,7.3,24.1,42,66,0.13,235.5,9.5,103.9,2090,73,3242,100,1,0
C00025,Motor,8.4,37.1,72,63.6,0.24,232.9,8,91,2846,79,2136,77,1,0
C00026,Pump,0.8,24.9,64,67.5,0.42,234,9.2,108.5,3080,87,2831,75,7,0
C00027,Horn,8.3,26.7,62,69,0.65,229.4,7.8,96.9,2097,75,3021,65,3,0
C00028,Pump,2.7,33.1,35,70.5,0.62,222.7,10.6,69.5,2735,67,50,92,5,0
C00029,Pump,6.4,38.9,37,64.6,0.43,231.8,9.8,87.1,3180,72,2210,68,7,0
C00030,Horn,7.5,41.1,69,58.5,0.65,241.4,11.8,110.2,1954,91,2075,100,8,1
C00031,Horn,3,22.6,75,63.9,0.21,229.9,11,129.5,2499,71,5114,76,4,0
C00032,Pump,4.4,34.4,68,73.5,0.67,218.5,9.2,97.1,2855,70,3358,43,10,0
C00033,Pump,4.7,26.7,40,79.4,0.29,238.9,8.7,73.4,3241,97,838,85,6,0
C00034,Horn,4.4,26.8,35,91.6,0.59,228.6,11.1,95.9,2468,82,4279,53,1,0
C00035,Horn,8,29.9,71,86.1,0.66,228.8,4,96.5,3083,55,50,65,3,0
C00036,Pump,2.5,22.9,39,64.6,0.81,222.6,12.5,127,1484,67,4056,79,3,0
C00037,Motor,8.3,30.7,69,75.7,0.52,234.4,8.2,65.5,2939,91,1761,73,10,0
C00038,Horn,8.5,37.9,65,74.6,0.4,227.8,11.8,129,3222,72,2884,74,2,0
C00039,Motor,1.8,36.1,72,68.2,0.8,230.4,7.6,117.4,1988,90,333,96,0,0
C00040,Motor,6.2,24.9,83,82.7,0.28,226.1,15.3,128.5,2520,96,2321,70,4,1
C00041,Pump,4,36.8,88,59.5,0.48,221.5,7.3,99.2,2758,63,3727,57,6,0
C00042,Motor,2.2,24.1,77,72.6,0.43,228.6,8.8,111.5,2402,70,5171,58,3,0
C00043,Motor,8.1,32,55,85.1,0.43,218.9,13.3,109,1180,67,3770,74,0,0
C00044,Motor,7.9,29.4,37,88.1,0.8,241.8,12.3,128.8,2488,67,1751,67,10,1
C00045,Pump,5.3,22.1,44,67.1,1.19,224.5,9.9,132.2,2837,83,1769,87,6,0
C00046,Pump,4.7,22.3,37,75.1,0.5,225.6,9.1,117,2263,57,3802,63,9,0
C00047,Motor,3.7,26.7,46,79.6,0.72,237.3,4.8,74.1,2913,64,4016,98,5,0
C00048,Motor,3.5,23.4,48,89.6,0.58,228.6,12.5,120.7,2012,66,1459,82,3,0
C00049,Horn,3.8,28.6,61,71.6,0.44,239.5,11.6,96.6,2732,80,2925,74,1,0
C00050,Pump,8.3,35.1,63,75.7,0.76,228.8,9.2,106.7,3611,83,3731,67,5,0
C00051,Horn,3.7,25.7,36,60.9,0.64,236.6,10.4,98.5,3258,84,3933,60,0,0
C00052,Motor,5,25.1,56,81.5,0.56,239.9,10.5,120.3,2555,67,1531,73,10,0
C00053,Pump,4.9,40.2,62,70.4,0.37,223.8,5.1,144,2385,66,1922,53,2,0
C00054,Horn,7.9,25.2,61,66.4,0.61,224.7,6.8,89.4,2552,67,50,67,6,0
C00055,Motor,9.8,33.7,70,82.3,0.65,229.5,8.8,118.7,3175,96,4839,76,2,1
C00056,Pump,3,26.6,87,62.1,0.6,236.3,5.9,88.3,2090,100,3067,87,2,0
C00057,Pump,6.4,38,55,79.2,0.59,230.3,11,121.4,2221,87,3455,92,10,1
C00058,Horn,2.8,28.1,63,76.6,0.58,222.8,9.4,60,2177,68,1120,80,9,0
C00059,Horn,2.3,28,78,75,0.3,241.3,9.7,116.2,2385,66,2439,77,4,0
C00060,Motor,2.2,22.3,81,68.9,0.6,216.1,6.9,117.8,2777,54,863,81,1,0
C00061,Pump,2.9,27.9,50,85.5,0.48,232.9,10,103.1,2288,42,2332,87,8,1
C00062,Motor,3.4,37.2,75,76.8,0.72,232.8,13.8,128.6,2390,51,3644,83,5,0
C00063,Pump,8.6,26.6,57,87.1,0.46,231.1,13.6,125.6,2935,62,4466,63,3,1
C00064,Horn,6.7,28.6,81,73.9,0.43,233.1,10.7,82.7,2456,62,1933,80,9,0
C00065,Pump,8.4,41.4,60,61.6,0.5,225.7,6.2,107.4,3063,71,1830,85,9,0
C00066,Motor,0.5,31.3,64,69.9,0.62,231.7,11.6,106.4,2423,88,1755,52,2,0
C00067,Horn,5.5,25.5,52,74.6,0.28,240.5,11.3,103.1,3370,63,795,93,7,0
C00068,Pump,9,40.2,45,79.5,0.72,230.7,10.4,82.6,2357,75,2691,88,6,0
C00069,Horn,1.5,31.9,89,61.9,0.34,236.2,2,113,2740,100,2978,88,7,0
C00070,Pump,3.3,40.6,55,77.5,0.67,220,7.9,87.5,2574,82,1853,56,3,0
C00071,Motor,8.7,27.6,65,69.1,0.82,229.2,11,130.3,3501,54,355,84,0,1
C00072,Motor,7.6,29.4,83,78.7,0.59,230.3,4.6,73.6,2567,64,3938,85,4,0
C00073,Motor,4.4,30.9,75,67.1,0.82,230.4,13.4,96.9,1783,86,1864,57,7,0
C00074,Pump,5.5,34.9,44,71.4,0.32,223.2,8.5,89.4,2156,75,2210,81,3,0
C00075,Horn,8.8,24.5,50,51.4,0.74,225.2,9.7,105.7,2548,73,904,91,3,0
C00076,Motor,2,23.1,66,69,0.47,236,7,119.6,3022,66,1825,96,2,0
C00077,Motor,4.5,28.5,57,59.1,0.49,230.1,8.3,89.8,2675,54,3144,85,9,0
C00078,Motor,1,23.3,80,79.5,0.66,230.9,6.3,75.3,2541,95,2295,73,8,0
C00079,Pump,5.8,35.8,82,87.8,0.45,222.9,7.8,106.4,3022,57,3023,54,1,0
C00080,Horn,9.2,33.7,49,88.3,0.6,228.5,10.3,115.6,2770,68,2218,67,3,1
C00081,Pump,4,29.3,42,73.5,1.04,234.5,10.1,103.9,2096,77,776,61,3,0
C00082,Pump,8.6,40.3,90,62.2,0.34,226,8.8,105.6,2608,52,3695,82,3,0
C00083,Motor,5.5,36.7,70,70.9,0.4,223.3,15.3,124.2,3062,80,2108,86,4,0
C00084,Pump,1.1,40.8,63,61.6,0.64,232.3,10.7,99.2,1815,85,2053,60,2,0
C00085,Pump,6.9,37.7,74,91.4,0.29,225.6,7.5,90.2,2333,57,2621,100,2,0
C00086,Horn,7.9,31.1,39,62.8,0.92,239.9,10,123,2365,65,50,64,4,0
C00087,Motor,8.8,33.8,81,84.2,0.58,228.6,10.6,86.1,2564,100,1882,70,4,1
C00088,Horn,1.3,34.2,88,67,0.4,229.1,14.5,136.3,2312,76,4703,56,0,1
C00089,Motor,4.2,30.5,87,66.7,0.42,235.3,7.9,99,2194,82,2964,64,10,0
C00090,Pump,2.3,23.6,57,61.2,0.65,225.5,9.6,85.5,2724,83,841,52,3,0
C00091,Pump,4.6,38.3,54,64.4,1.07,245.9,12.2,142,2359,78,4931,53,2,0
C00092,Motor,6.8,39.7,39,86.5,0.63,239.3,12.7,133.7,2667,80,4082,67,8,0
C00093,Horn,1.1,23.8,64,86,0.44,243.4,8.3,88.3,2421,66,313,96,9,1
C00094,Motor,4.1,34.6,82,82.8,0.51,232,10.8,115.9,2417,82,4913,75,5,0
C00095,Motor,4.9,27.7,44,77.6,0.19,234.6,6.8,101.7,2676,80,4318,84,10,0
C00096,Motor,8.3,34,83,73.2,0.79,229.3,11,139.8,2960,85,2198,76,3,1
C00097,Horn,5.5,38.6,89,76.5,0.3,231.8,8.1,79.3,2938,74,1827,82,4,0
C00098,Pump,6.8,22.3,77,77.2,0.1,243.7,13,89.8,2251,83,597,77,7,0
C00099,Pump,1.9,36.8,46,92.9,0.38,228.9,7.5,109.9,2403,75,2500,64,10,0
C00100,Horn,2.6,35.3,72,75.4,0.55,222.9,9.3,115.2,1527,78,3557,75,6,0
C00101,Horn,6.7,32.8,57,68.9,0.1,239.3,7.9,150,2849,89,2559,58,2,0
C00102,Pump,3,28.7,61,64.2,0.53,236.4,11.9,134.7,3007,69,2399,73,4,0
C00103,Pump,6.4,23,56,68.6,0.89,233.2,11.5,86,1939,58,4339,100,0,1
C00104,Motor,6.5,33.7,55,69.9,0.54,240.4,7.7,128,2202,63,2075,47,8,0
C00105,Horn,8.8,28.5,66,72.8,0.35,231,5.4,106,1921,90,3175,83,2,0
C00106,Motor,8.7,41.1,66,77.8,0.71,234.4,15.4,137.1,1704,98,1299,55,10,1
C00107,Motor,8.6,29.1,62,89.5,0.87,230.7,9.2,79.1,2785,49,2358,81,2,1
C00108,Motor,7,41.9,70,74.6,0.93,231.1,10,109.9,2355,49,1435,74,2,0
C00109,Pump,1,30.6,50,75.3,0.46,230,16,112.4,1000,88,3221,61,10,0
C00110,Motor,4.7,32.5,64,65.9,0.7,233.7,9.6,102.5,1764,89,3138,88,1,0
C00111,Pump,6.2,30,84,61.2,0.49,230.8,11.2,78.9,2893,76,4214,56,6,0
C00112,Horn,3.9,34.8,83,77.4,0.61,219.3,9.9,84.8,2434,86,2194,44,1,0
C00113,Motor,3.8,22.6,61,58.7,0.75,231,6.4,93.9,3301,87,1871,87,5,0
C00114,Motor,4.1,27.5,50,63.6,0.58,234.7,10.9,127.2,1592,63,1873,42,0,0
C00115,Pump,7.7,31,56,82.2,0.64,229.5,12.8,112.5,2740,69,5301,68,2,0
C00116,Horn,3.9,39.8,68,68.1,0.82,227.9,3.9,140.1,2374,82,4593,86,2,0
C00117,Motor,8.4,41.9,38,77.8,0.64,219.8,11.2,110.3,2169,54,4503,47,5,0
C00118,Pump,1,40.5,70,57.2,0.62,238,12.1,98.1,2041,86,1418,79,8,0
C00119,Horn,0.7,30.5,38,77.5,0.93,226.4,11.3,82.7,3103,80,3560,82,7,0
C00120,Motor,2.9,39.2,69,89.7,0.7,225,6.3,133.1,2507,55,2703,96,5,0
C00121,Pump,0.9,34.9,39,75.1,0.42,231.1,8.3,115.8,1724,61,2282,100,2,0
C00122,Horn,6.9,29.9,72,74.3,0.58,236.6,10.3,109.5,3136,82,4322,39,1,0
C00123,Motor,5.9,29.6,61,62.8,0.78,233.2,10.2,134,1752,50,1562,68,7,0
C00124,Motor,6.2,32.6,78,72.3,0.52,232.9,7.8,119.9,1586,67,4452,76,2,0
C00125,Pump,0.6,36.9,64,54.3,0.11,239.2,9.4,106,1833,64,1024,78,5,0
C00126,Pump,4,34.3,68,61.5,0.77,226.5,4,100,2047,58,2609,63,9,0
C00127,Horn,7.5,25.7,78,79.9,0.19,234.2,4.7,88.9,1000,85,2475,73,9,0
C00128,Horn,7.8,27.6,57,67.4,0.72,232.2,14.7,117,1886,94,2379,41,9,1
C00129,Horn,5.5,41.3,52,74.8,0.65,233.5,12.2,119.7,2734,75,2609,59,1,0
C00130,Motor,4.7,26.3,55,64,0.72,229.1,8.4,93.5,2471,62,2531,60,2,0
C00131,Horn,4,41.4,52,50.3,0.2,230.7,12.6,123.6,3076,81,2359,86,7,0
C00132,Horn,6.6,36.9,50,75.5,0.76,231.2,15.2,120.5,2365,86,1477,67,7,0
C00133,Pump,8.9,37,82,64.9,0.56,238.6,5.7,91.6,2931,73,1230,76,10,0
C00134,Motor,5.2,39.8,64,87.5,0.29,230.4,0.5,109.3,2875,82,3532,71,0,0
C00135,Horn,6.9,24.2,50,77.7,0.96,241.5,15.4,134.5,2790,75,648,60,1,0
C00136,Pump,9.1,23.5,49,63.8,0.6,230.9,9,114.4,3485,75,3371,80,4,0
C00137,Horn,1.5,35.4,56,72.6,0.33,215.8,4.1,107.3,2696,81,3181,72,10,0
C00138,Horn,4.5,35.8,62,75.9,0.76,219.3,7.3,111.9,1948,66,2702,62,4,0
C00139,Pump,7.7,41.6,38,64.5,0.68,236,8.3,103.3,3379,67,2556,83,0,0
C00140,Horn,5.6,25.4,56,78.6,0.34,227.7,9.8,119.5,2944,67,3296,57,9,0
C00141,Motor,7.9,27.3,88,78.8,0.26,237.4,7.2,107.2,3155,78,3386,70,7,0
C00142,Horn,5.9,32.8,63,68.1,0.51,225.9,13.1,127.1,2346,73,2174,81,0,0
C00143,Pump,2.9,27.5,48,58.9,0.56,230.3,14.1,113.5,2801,85,3480,90,5,0
C00144,Horn,6.6,33.3,49,70.1,0.33,223.4,6.2,86.3,2429,74,4577,54,10,0
C00145,Motor,4.5,28.9,44,58.3,0.66,239.3,13.4,127.4,2415,66,4288,73,10,0
C00146,Horn,3.1,40.7,41,105.7,0.64,226.6,11,103.2,2123,76,3031,72,1,0
C00147,Motor,2.2,35.3,82,82.8,0.93,231.5,11.9,98.8,2462,72,1640,100,2,1
C00148,Horn,8.7,37.9,90,73.4,0.72,229.6,12.7,111.8,2563,81,3104,94,9,1
C00149,Motor,9.9,38.1,81,73.9,0.14,240.9,10.8,76.7,3808,78,1372,89,0,0
C00150,Pump,7.3,33.1,41,69.8,0.56,224.4,10.4,93.8,1741,63,1452,55,9,0
C00151,Pump,2.7,37.3,90,71.6,0.45,230.7,8,108.1,2420,60,1058,56,2,0
C00152,Motor,0.9,24.7,49,70.3,0.15,232.7,16.1,110.4,2401,67,3332,81,3,0
C00153,Motor,9,23.5,80,85.5,0.43,236.6,10.7,53.6,2685,73,972,97,4,0
C00154,Pump,4.5,26.3,78,71.1,0.76,236.6,7.3,122.2,3195,88,2569,95,8,0
C00155,Horn,10,30.2,46,77.7,0.44,236.6,13,109.8,2004,72,1528,81,1,0
C00156,Horn,9,28.4,86,78.2,0.7,240.1,12.8,121.1,2711,66,1829,75,8,1
C00157,Pump,1.7,24.9,60,54,0.6,239.1,11.4,64.6,2866,83,3457,49,1,0
C00158,Horn,5.3,25,72,66,0.53,228.3,9.1,80.8,2275,78,1834,92,6,0
C00159,Motor,7.9,33.7,81,76,0.65,233.1,11.6,122.4,2752,88,2057,54,3,0
C00160,Motor,4.5,41.9,80,79.5,0.6,232.6,8,117.3,2463,68,2448,47,2,0
C00161,Pump,1,28.3,70,78.1,0.75,246.8,6.6,106.4,2016,73,2496,54,8,0
C00162,Horn,4.1,38.1,44,70.7,0.2,240.6,16.7,83.8,2727,97,2271,84,10,1
C00163,Horn,0.9,37.4,38,74.4,0.46,217,16,125.5,2830,68,2518,76,3,0
C00164,Horn,6,38.8,63,70.3,0.79,232.4,7.9,106.8,2989,71,1018,53,10,0
C00165,Pump,3.8,32.6,89,67.4,0.35,223.6,12,101.9,3085,80,2235,56,10,1
C00166,Pump,9.6,39.4,66,77.6,0.33,238.4,10.1,89.2,2007,83,3003,63,0,0
C00167,Horn,9.6,28.4,38,80.8,0.44,223.2,14.6,101.7,3326,73,2577,72,9,1
C00168,Horn,1.7,31,86,77.7,0.58,230.6,11.2,91.5,2151,81,3478,72,8,0
C00169,Motor,4,24.4,88,58.8,0.47,236.9,8.9,77.7,1727,91,3080,63,0,0
C00170,Pump,0.8,23.4,43,47.8,0.87,238.7,8.8,108.9,2643,54,4218,62,0,0
C00171,Pump,5.2,35.5,35,65.2,0.23,235.1,8.7,102.1,2412,86,2393,68,6,0
C00172,Horn,1.6,28.4,62,78.7,0.77,229.1,9.4,94.8,2210,74,3555,80,8,0
C00173,Motor,7.8,26.7,40,73.1,0.38,235.2,9.4,94.9,2192,82,2167,67,4,0
C00174,Horn,6.8,25.2,67,79.9,0.35,229.8,12.9,87.3,2473,78,829,66,1,0
C00175,Motor,7,33.6,51,88.2,0.35,231.6,9.4,115.8,2773,69,335,48,9,1
C00176,Horn,9.9,31.9,52,42.4,0.49,248.3,13.4,107.4,2996,49,2650,69,10,0
C00177,Motor,1.4,30.5,88,77,0.71,230.9,7.4,101.8,2766,78,1582,75,6,0
C00178,Motor,2.7,34.1,69,74.9,0.47,225.4,8.5,110.8,2627,72,4089,88,0,0
C00179,Horn,4.1,26.6,51,65.6,0.65,242.9,9.1,131.5,2255,77,1149,67,6,0
C00180,Pump,6.8,39.2,73,62,0.43,233.3,10.3,108.5,2278,76,2560,83,9,0
C00181,Horn,9.9,35.6,42,62.4,0.32,236.4,8.1,112.6,3036,77,2141,99,6,0
C00182,Motor,1.5,40.2,45,71.9,0.55,233.9,10.1,146.4,2338,68,1704,61,9,0
C00183,Motor,1.4,34,59,44.3,0.35,240,11.4,105.8,2194,100,2463,83,7,0
C00184,Pump,5,39.1,53,82.6,0.49,232.5,10.8,104.2,2180,72,5107,68,5,0
C00185,Pump,1.9,22,80,70.9,0.28,242.7,6.5,108.8,2060,58,3611,85,1,0
C00186,Horn,8.1,27.6,78,64.3,0.82,240.9,8.5,116,3061,100,3785,76,1,1
C00187,Horn,6.2,38.6,53,85.3,0.93,228.2,10,108.5,2693,100,383,62,7,1
C00188,Pump,7.6,23.2,73,72.6,0.56,229.9,4.9,105,2840,70,877,59,8,0
C00189,Horn,9.7,28.2,45,81.2,0.41,225.8,8.1,128.4,3464,60,3901,59,6,1
C00190,Pump,1.5,34.9,56,81.1,0.72,234.7,9.1,130.4,2171,58,848,58,8,0
C00191,Horn,2,26.5,79,76.2,0.49,237.4,5.6,94.1,2086,77,2822,84,5,0
C00192,Motor,1.6,31.2,60,88.8,0.5,229.9,2.8,129.4,2127,77,1251,73,5,1
C00193,Horn,5.6,40.2,79,73.3,0.58,235.1,6.6,111.1,2816,70,4211,60,0,0
C00194,Motor,6.7,27.4,79,82.7,0.64,225.3,5.2,103.9,2313,95,142,83,8,1
C00195,Pump,3.6,25.8,39,76.3,0.79,237.9,10.6,73.7,2724,71,4490,68,6,0
C00196,Motor,7.7,35.6,40,55,0.67,230.8,11.3,76.6,2483,70,1282,86,5,0
C00197,Pump,2.7,25.5,54,86,0.36,233,10.9,111.8,2064,86,1655,33,9,0
C00198,Horn,0.6,30.6,78,78.8,0.55,237.7,10.8,122.9,2701,76,1889,92,8,1
C00199,Motor,5.9,28,87,65.6,0.78,238.7,12.5,83.1,1635,85,1136,76,0,0
C00200,Horn,6.6,37.4,63,59.2,0.61,240.7,8,93.3,2197,71,2756,74,7,0
C00201,Pump,1.1,26.2,36,58.7,0.65,242.6,13.4,76.6,2936,45,2745,94,1,0
C00202,Horn,1.5,40.7,53,70.7,0.51,222.7,7.7,87,2787,100,3028,76,8,0
C00203,Motor,5,39.6,83,82.9,0.73,235.2,13.5,124.7,3430,72,2560,69,7,1
C00204,Pump,4.7,32.7,43,64.8,0.4,236.5,14.9,108.4,2447,91,4054,65,7,0
C00205,Horn,6.6,36.6,74,68,0.52,230.5,13.5,92.6,2506,94,1101,77,1,0
C00206,Horn,3.3,37,50,67.3,0.44,228.6,9.2,118,2475,84,897,65,9,0
C00207,Pump,8,25.2,83,77.7,0.4,233.6,7.7,99.4,2003,88,4079,82,5,0
C00208,Motor,0.7,36.9,81,84.5,0.47,230.6,9.2,103.8,2432,61,2347,64,1,0
C00209,Horn,9.1,27.2,65,77.7,0.54,239.8,13.1,126.2,2304,54,3127,89,1,1
C00210,Horn,8.5,37,66,69.3,0.54,222.4,8.7,107.1,2079,84,489,83,0,0
C00211,Pump,7.1,40.7,66,63,0.37,229.8,5.5,106.5,2322,67,4156,56,2,0
C00212,Motor,1.9,38.2,68,63.6,0.73,232,7,128.3,3539,57,2198,75,7,0
C00213,Horn,5.2,28,59,87.8,0.8,225.9,11.1,134.6,2733,87,2497,59,8,0
C00214,Horn,1.5,24.9,45,76.8,0.75,229.1,5.3,109.1,1978,83,2376,67,8,0
C00215,Motor,2.8,40.6,55,62.8,0.63,222.1,8.9,114.2,1768,75,772,68,6,0
C00216,Motor,8.2,29.6,37,72.9,0.6,245.4,12.1,92.3,3053,60,2964,53,8,0
C00217,Motor,8.5,26.4,87,67.2,0.4,232.8,10.5,108,2338,75,2871,68,4,0
C00218,Horn,8.7,30.7,50,87.3,0.89,238,9.8,128.1,1552,61,2074,52,6,1
C00219,Motor,3.1,30.2,39,92.2,0.73,241,7.7,91,1958,49,481,100,4,0
C00220,Motor,2.8,37.4,40,69.1,0.82,220.6,9.6,93.9,3442,63,4306,86,8,1
C00221,Horn,7.6,40.3,69,78.6,0.28,232.8,10.6,80.8,2288,94,241,81,9,0
C00222,Motor,1.9,38.3,74,68.7,0.75,236.6,11.4,96.4,2798,84,1394,66,3,0
C00223,Pump,4.1,38.6,50,64.4,0.7,241.9,8.2,112.1,2781,75,2029,56,6,0
C00224,Pump,9.4,26.6,79,85.6,0.3,236.3,13.7,99.7,1870,69,1676,74,1,1
C00225,Pump,7.3,27.2,87,74.1,0.84,229.9,12.4,126.2,2339,77,3851,100,5,1
C00226,Pump,7.8,37.1,87,67,0.33,229.2,5.1,124.1,1586,70,3458,47,1,0
C00227,Motor,5.9,24.8,87,74.8,0.61,223.8,13.3,91.8,2680,78,1488,100,1,0
C00228,Horn,2.3,30.7,65,64.3,0.36,234.1,10.9,87.9,2950,61,2310,56,4,0
C00229,Motor,3.6,29.3,68,73.2,0.66,236.9,10.3,127.4,2455,63,3840,100,6,0
C00230,Horn,9.5,23.9,78,99.4,0.5,226.5,8.2,133.1,2903,77,1960,72,4,0
C00231,Motor,6.1,28.3,85,61,0.9,228.8,9.3,99.6,1455,92,1847,75,1,1
C00232,Horn,1.2,37.9,50,73.9,0.54,228.2,9,97.8,2026,39,4081,55,0,0
C00233,Motor,4.7,37.6,71,78.9,0.66,225,15.3,118.7,2051,64,744,93,7,0
C00234,Motor,9.2,35.4,87,68,1.17,231.1,8,77.5,2098,71,1864,73,10,1
C00235,Horn,2.9,33.1,42,54,0.42,233,12.1,113.2,1863,56,2298,62,9,0
C00236,Motor,4.6,39.2,69,73.2,0.34,233.1,8.9,135.7,1559,83,4242,71,8,0
C00237,Horn,7.3,38.2,75,70.7,0.47,230.6,8,125.8,1542,82,1550,73,7,0
C00238,Motor,2.9,31.3,85,77.9,0.49,232.5,4.2,100.8,2774,60,886,46,2,0
C00239,Horn,7.3,25.8,69,63.2,0.42,229.9,11.6,131.9,1893,89,1855,76,2,0
C00240,Horn,5.5,28.4,86,70.9,0.48,254.4,14.1,89.9,2913,71,4463,53,2,1
C00241,Motor,0.5,42,84,62.2,0.89,234.3,8.6,111.2,2510,80,3731,65,4,1
C00242,Motor,2,29.2,90,71.8,0.77,223.9,13.5,109.3,2349,77,3093,100,7,1
C00243,Motor,2.5,36.1,55,66.1,0.7,219,8.2,110,2863,75,3232,100,4,0
C00244,Horn,6.6,33.9,46,79.1,0.54,226.4,12.7,77.5,2767,65,1950,84,1,0
C00245,Horn,2.7,23,67,47.5,0.43,235,9.3,125.8,2896,78,5600,83,1,0
C00246,Horn,2.7,39.2,89,75.2,0.1,235.8,9.5,131.7,2477,100,4013,100,2,1
C00247,Horn,3.7,31.7,57,55,0.46,236.9,10.5,83.3,2838,75,2695,71,2,0
C00248,Motor,9.9,24.5,36,79,0.39,236.2,15.8,76.8,2618,67,2026,72,6,1
C00249,Motor,7.3,24.8,50,85,0.36,230,8.2,83.1,1288,57,2073,74,7,0
C00250,Motor,3.1,34.9,42,72.5,0.26,232.3,10.4,98.3,2269,76,3548,71,5,0
C00251,Pump,9.6,37.5,37,66.2,0.56,240.5,12,129.3,1980,74,2107,50,5,0
C00252,Horn,9.2,22.1,48,62.4,0.6,223.4,11,92.3,1755,89,4609,84,10,1
C00253,Pump,5.2,23.8,75,57.8,0.31,233.9,11.2,113,2317,74,2393,71,3,0
C00254,Pump,2.7,24.5,52,70,0.99,231.3,15.1,77.6,2635,80,2353,72,8,0
C00255,Horn,6.4,38.9,89,58.6,0.78,230.4,13.3,96.4,2354,73,1453,61,2,0
C00256,Motor,2.8,37.3,76,58,0.57,224.2,15,141.3,2094,91,2629,50,0,1
C00257,Horn,2.6,30,85,76,0.9,227.5,6.2,116.9,2850,81,2563,63,10,1
C00258,Motor,6.4,26.9,54,88.3,0.63,222.4,9.6,88.1,2287,98,1072,100,0,1
C00259,Pump,9,27.5,87,78.2,0.54,237.6,9.8,108.4,1286,81,856,78,7,0
C00260,Horn,7.9,38.8,77,92.1,0.46,226.6,12.2,117.1,2584,79,4154,81,2,0
C00261,Motor,9.3,34.5,68,82.9,0.63,229.5,14.6,101.2,2929,75,721,57,4,1
C00262,Motor,5.2,31.8,65,74.5,0.36,228.6,8.6,127.5,2664,75,2097,91,7,0
C00263,Horn,4.9,34.5,89,62.1,0.19,230.9,8,87.4,3145,81,3757,71,7,0
C00264,Pump,8,30.7,44,88.2,0.58,226.4,15,97.1,2035,89,3164,67,9,0
C00265,Pump,5.5,35.6,50,57.3,0.83,226.9,9.2,94.2,2235,72,1842,62,8,1
C00266,Pump,6.7,32.7,79,69,0.96,234.7,9.2,104,2444,71,3818,56,10,0
C00267,Motor,8.7,29.6,59,58.3,0.42,248.3,7.9,73,2289,68,2906,74,6,0
C00268,Horn,5.1,33.7,58,61.4,0.58,219.3,9.4,157.3,2869,80,3867,66,3,0
C00269,Motor,0.8,31.9,45,76.3,0.59,225.8,16.2,124.4,2536,64,3165,89,10,0
C00270,Motor,1.9,38.6,54,52,0.84,223.6,7.7,101.3,2021,76,4495,88,6,0
C00271,Horn,2,24.3,47,62.5,0.64,241.6,11,90.3,2886,93,2143,83,6,0
C00272,Motor,7.3,26.4,38,71.2,0.55,236.3,5.8,112.2,2598,84,50,80,8,0
C00273,Motor,2.5,24.5,69,71.6,0.26,242.5,13.1,129.5,2206,93,1123,88,0,0
